#separator \x09
#set_separator	,
#empty_field	(empty)
#unset_field	-
#path	pasad-simple
#open	2017-09-26-10-11-01
#fields	ts_request	ts_response	rtype	tid_request	tid_response	ip_orig	ip_resp	start_address	quantity	registers
#types	time	time	string	count	count	addr	addr	count	count	vector[count]
1480337775.934099	1480337775.971379	holding	2538	2538	10.34.211.73	192.168.211.146	80	8	48979,7282,15636,9709,48404,9709,16943,32237
1480337776.128206	1480337776.131736	holding	2547	2547	10.34.211.73	192.168.215.66	60	12	17173,45657,49927,27307,17146,46421,17120,57951,17107,22452,16795,13653
1480337776.103192	1480337776.132496	holding	2542	2542	10.34.211.73	192.168.211.186	0	3	244,32776,9728
1480337776.123186	1480337776.146508	holding	2546	2546	10.34.211.73	192.168.211.122	68	6	0,0,0,0,0,0
1480337776.113180	1480337776.156409	holding	2544	2544	10.34.211.73	192.168.211.178	50	6	2016,11,28,13,56,15
1480337776.134962	1480337776.158094	holding	2548	2548	10.34.211.73	192.168.211.130	40	6	7,0,32768,0,0,0
1480337776.144883	1480337776.171089	holding	2549	2549	10.34.211.73	192.168.211.210	50	6	2016,11,28,13,56,15
1480337776.118196	1480337776.171376	holding	2545	2545	10.34.211.73	192.168.211.194	40	7	120,1,0,0,0,0,0
1480337776.096762	1480337776.172857	holding	41583	41583	10.34.211.69	192.168.211.218	0	10	31840,27348,32541,6170,26,12311,0,0,0,0
1480337776.169475	1480337776.180976	holding	2554	2554	10.34.211.73	192.168.211.67	68	8	17000,0,17012,0,17008,0,15948,52429
1480337776.174899	1480337776.185110	holding	2555	2555	10.34.211.73	192.168.211.82	68	10	17052,0,17048,0,17046,0,17042,0,16256,0
1480337776.108212	1480337776.195739	holding	2543	2543	10.34.211.73	192.168.211.226	50	6	2016,11,28,13,56,14
1480337776.149574	1480337776.206115	holding	2550	2550	10.34.211.73	192.168.211.162	40	7	263,0,0,0,0,0,0
1480337776.195190	1480337776.220473	holding	2559	2559	10.34.211.73	192.168.211.186	70	6	2016,11,28,13,56,14
1480337776.205354	1480337776.231626	holding	2561	2561	10.34.211.73	192.168.211.178	60	8	0,0,17267,15019,17074,38533,16827,2427
1480337776.204301	1480337776.235686	holding	2560	2560	10.34.211.73	192.168.211.226	60	12	0,0,16240,0,16707,0,16960,16081,17041,62199,16849,47332
1480337776.215341	1480337776.238091	holding	2563	2563	10.34.211.73	192.168.211.122	80	6	16867,48545,48720,38836,48770,24273
1480337776.225171	1480337776.250126	holding	2565	2565	10.34.211.73	192.168.211.130	50	6	2016,11,28,13,56,15
1480337776.230277	1480337776.252068	holding	2566	2566	10.34.211.73	192.168.211.210	60	8	16975,56798,17027,50517,16984,13350,16621,63109
1480337776.178152	1480337776.252858	holding	41584	41584	10.34.211.69	192.168.211.218	58	10	16956,45056,16814,4096,16986,49152,17180,41984,0,0
1480337776.210249	1480337776.264273	holding	2562	2562	10.34.211.73	192.168.211.194	68	8	0,0,0,0,0,0,0,0
1480337776.235274	1480337776.277239	holding	2567	2567	10.34.211.73	192.168.211.162	50	6	2016,11,28,13,56,15
1480337776.244236	1480337776.286747	holding	41588	41588	10.34.211.69	192.168.211.90	50	3	49152,0,0
1480337776.239724	1480337776.305137	holding	41587	41587	10.34.211.69	192.168.212.74	50	3	1,0,0
1480337776.280346	1480337776.312383	holding	2576	2576	10.34.211.73	192.168.211.186	80	6	16993,3098,16907,56957,17147,63329
1480337776.290526	1480337776.315494	holding	2578	2578	10.34.211.73	192.168.211.178	68	8	0,0,0,0,0,0,0,0
1480337776.285222	1480337776.315673	holding	2577	2577	10.34.211.73	192.168.211.226	72	8	16960,0,16952,0,17038,0,17042,0
1480337776.299070	1480337776.324822	holding	41590	41590	10.34.211.69	192.168.211.90	60	6	2016,11,28,13,56,14
1480337776.259216	1480337776.332727	holding	41585	41585	10.34.211.69	192.168.211.218	10	8	0,0,32,2048,0,3,0,0
1480337776.295410	1480337776.334351	holding	2579	2579	10.34.211.73	192.168.211.194	80	8	0,0,0,0,0,0,0,0
1480337776.315670	1480337776.344274	holding	2583	2583	10.34.211.73	192.168.211.210	68	8	0,0,0,0,0,0,0,0
1480337776.310646	1480337776.345388	holding	2582	2582	10.34.211.73	192.168.211.130	60	8	0,0,48941,21845,16969,33071,16825,27307
1480337776.308173	1480337776.351504	holding	41589	41589	10.34.211.69	192.168.212.74	60	6	2016,11,28,13,56,15
